,_id,power_law_exponent,temperature,number_of_nodes,number_of_edges,average_degree,heterogeneity,average_clustering,experiment_id
0,647b3f3e7051b1949d2cb5a7,inf,0,49808,87446,3.5113145876420804,-0.476143644665089,0.2056534997414638,647b3e3a7051b1949d2cb593
1,647b3e4b7051b1949d2cb595,inf,0.4,49960,132419,5.301001351647545,-0.44191706606340625,0.2676304444388608,647b3e3a7051b1949d2cb593
2,647b3e5e7051b1949d2cb597,inf,0.53,49983,162005,6.48235246859776,-0.44528959761488246,0.20204559450758622,647b3e3a7051b1949d2cb593
3,647b3e777051b1949d2cb599,inf,0.62,49992,184973,7.40011230245964,-0.4557267067192566,0.14207191622872103,647b3e3a7051b1949d2cb593
4,647b3e947051b1949d2cb59b,inf,0.76,49996,219380,8.775945290429215,-0.47797187221430343,0.05592970783133655,647b3e3a7051b1949d2cb593
5,647b3eae7051b1949d2cb59d,inf,0.7,49994,205529,8.222228910443974,-0.4680108865871609,0.0892941967452493,647b3e3a7051b1949d2cb593
6,647b3ecb7051b1949d2cb59f,inf,0.82,49995,230681,9.22825248211846,-0.48659354608928246,0.03143189068808015,647b3e3a7051b1949d2cb593
7,647b3eea7051b1949d2cb5a1,inf,0.88,49998,238804,9.552473706236942,-0.4917887029596435,0.015969454793332415,647b3e3a7051b1949d2cb593
8,647b3f0d7051b1949d2cb5a3,inf,0.94,49998,244164,9.766942701201717,-0.4961535342412683,0.007371282112286251,647b3e3a7051b1949d2cb593
9,647b3f327051b1949d2cb5a5,inf,0.9999,49998,247084,9.883786911799737,-0.4981535120623521,0.003270114642331327,647b3e3a7051b1949d2cb593
